rank,tier,title,year,authors,venue,doi,url,cited_by_count,relevance_score,relevance_tags,problem_claimed,actual_mechanism_introduced,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open,query_sources,abstract
30,landscape; serious_skim; deep_read; hostile_prior,Mechanics and Planning of Manipulator Pushing Operations,1986,M. T. Mason,International Journal of Robotics Research,,,0,61.0,planar_pushing,Develops mechanics and planning principles for robotic pushing under frictional contact.,analytic or learned planar contact mechanics,local friction geometry is known or slowly varying; compressed contact variables remain Markov enough for the policy,object geometry; support friction; contact normal parameterization,similar contact counts can have opposite useful push directions; downstream repair may be impossible after control-relevant information is discarded,contact mechanics and pushing controllability are established,minimal contact bits needed to preserve local task controllability; a repair that changes the compression criterion rather than adding a verifier,curated_seed,Develops mechanics and planning principles for robotic pushing under frictional contact.
31,landscape; serious_skim; deep_read; hostile_prior,Design and Kinematic Modeling of Constant Curvature Continuum Robots: A Review,2010,Robert J. Webster; Bryan A. Jones,The International Journal of Robotics Research,https://doi.org/10.1177/0278364910368147,https://doi.org/10.1177/0278364910368147,2044,60.935,hybrid_contact_control,"Continuum robotics has rapidly become a rich and diverse area of research, with many designs and applications demonstrated.",explicit hybrid mode or complementarity formulation,contact modes are represented finely enough for control; compressed contact variables remain Markov enough for the policy,mode graph; guard surfaces; action constraints,mode compression can hide the active viability cone; downstream repair may be impossible after control-relevant information is discarded,explicit contact modes and complementarity constraints are established,a limit theorem for policies that see only compressed contact state; a repair that changes the compression criterion rather than adding a verifier,contact-rich manipulation robotics,"Continuum robotics has rapidly become a rich and diverse area of research, with many designs and applications demonstrated. Despite this diversity in form and purpose, there exists remarkable similarity in the fundamental simplified kinematic models that have been applied to continuum robots. However, this can easily be obscured, especially to a newcomer to the field, by the different applications, coordinate frame choices, and analytical formalisms employed. In this paper we review several modeling approaches in a common frame and notational convention, illustrating that for piecewise constant curvature, they produce identical results. This discussion elucidates what has been articulated in different ways by a number of researchers in the past several years, namely that constant-curvature kinematics can be considered as consisting of two separate submappings: one that is general and applies to all continuum robots, and another that is robot-specific. These mappings are then developed both for the single-section and for the multi-section case. Similarly, we discuss the decomposition of differential kinematics (the robot's Jacobian) into robot-specific and robot-independent portions. The paper concludes with a perspective on several of the themes of current research that are shaping the future of continuum robotics."
32,landscape; serious_skim; deep_read; hostile_prior,"On the generality of the relationship among contact stiffness, contact area, and elastic modulus during indentation",1992,G.M. Pharr; W.C. Oliver; F.R. Brotzen,Journal of Materials Research,https://doi.org/10.1557/jmr.1992.0613,https://doi.org/10.1557/jmr.1992.0613,1370,60.835,general_robotics_contact,"Results of Sneddon's analysis for the elastic contact between a rigid, axisymmetric punch and an elastic half space are used to show that a simple relationship exists among the contact stiffness, the contact area, and the elastic modulus that is not dependent","robotics model, planner, estimator, or controller",compressed contact variables remain Markov enough for the policy,robot morphology; environment geometry; controller class,downstream repair may be impossible after control-relevant information is discarded,contact-aware robot control is a crowded area,a repair that changes the compression criterion rather than adding a verifier,contact-rich manipulation robotics,"Results of Sneddon's analysis for the elastic contact between a rigid, axisymmetric punch and an elastic half space are used to show that a simple relationship exists among the contact stiffness, the contact area, and the elastic modulus that is not dependent on the geometry of the punch. The generality of the relationship has important implications for the measurement of mechanical properties using load and depth sensing indentation techniques and in the measurement of small contact areas such as those encountered in atomic force microscopy."
33,landscape; serious_skim; deep_read; hostile_prior,One-Dimensional Electrical Contact to a Two-Dimensional Material,2013,L. Wang; I. Meric; P. Y. Huang; Q. Gao; Y. Gao; H. Tran; T. Taniguchi; K. Watanabe,Science,https://doi.org/10.1126/science.1244358,https://doi.org/10.1126/science.1244358,2719,60.113,general_robotics_contact,"Better Contact Along the Edge Electrical contact to graphene is normally done with metal contacts on its flat face, where there are few strong bonding sites for the metal.","robotics model, planner, estimator, or controller",compressed contact variables remain Markov enough for the policy,robot morphology; environment geometry; controller class,downstream repair may be impossible after control-relevant information is discarded,contact-aware robot control is a crowded area,a repair that changes the compression criterion rather than adding a verifier,robot contact dynamics,"Better Contact Along the Edge Electrical contact to graphene is normally done with metal contacts on its flat face, where there are few strong bonding sites for the metal. Wang et al. (p. 614 ) encapsulated graphene with hexagonal boron nitride sheets and made metal contacts along its edge, where bonding orbitals are exposed. The resulting heterostructures had high electronic performance, with room-temperature carrier mobilities near the theoretical phonon-scattering limit."
34,landscape; serious_skim; deep_read; hostile_prior,A Meta-Analysis of Factors Affecting Trust in Human-Robot Interaction,2011,Peter A. Hancock; Deborah R. Billings; Kristin E. Schaefer; Jessie Y. C. Chen; Ewart J. de Visser; Raja Parasuraman,Human Factors: The Journal of the Human Factors and Ergonomics Society,https://doi.org/10.1177/0018720811417254,https://doi.org/10.1177/0018720811417254,1691,59.9,contact_rich_manipulation; hybrid_contact_control,"Objective: We evaluate and quantify the effects of human, robot, and environmental factors on perceived trust in human-robot interaction (HRI).",contact-rich manipulation planner/controller; explicit hybrid mode or complementarity formulation,contact modes are represented finely enough for control; compressed contact variables remain Markov enough for the policy,mode graph; guard surfaces; action constraints,mode compression can hide the active viability cone; downstream repair may be impossible after control-relevant information is discarded,explicit contact modes and complementarity constraints are established,a limit theorem for policies that see only compressed contact state; a repair that changes the compression criterion rather than adding a verifier,robot contact dynamics,"Objective: We evaluate and quantify the effects of human, robot, and environmental factors on perceived trust in human-robot interaction (HRI). Background: To date, reviews of trust in HRI have been qualitative or descriptive. Our quantitative review provides a fundamental empirical foundation to advance both theory and practice. Method: Meta-analytic methods were applied to the available literature on trust and HRI. A total of 29 empirical studies were collected, of which 10 met the selection criteria for correlational analysis and 11 for experimental analysis. These studies provided 69 correlational and 47 experimental effect sizes. Results: The overall correlational effect size for trust was r = +0.26, with an experimental effect size of d = +0.71. The effects of human, robot, and environmental characteristics were examined with an especial evaluation of the robot dimensions of performance and attribute-based factors. The robot performance and attributes were the largest contributors to the development of trust in HRI. Environmental factors played only a moderate role. Conclusion: Factors related to the robot itself, specifically, its performance, had the greatest current association with trust, and environmental factors were moderately associated. There was little evidence for effects of human-related factors. Application: The findings provide quantitative estimates of human, robot, and environmental factors influencing HRI trust. Specifically, the current summary provides effect size estimates that are useful in establishing design and training guidelines with reference to robot-related factors of HRI trust. Furthermore, results indicate that improper trust calibration may be mitigated by the manipulation of robot design. However, many future research needs are identified."
35,landscape; serious_skim; deep_read; hostile_prior,Inactivation of YAP oncoprotein by the Hippo pathway is involved in cell contact inhibition and tissue growth control,2007,Bin Zhao; Xiaomu Wei; Weiquan Li; Ryan S. Udan; Qian Yang; Joungmok Kim; Joe Xie; Tsuneo Ikenoue,Genes &amp; Development,https://doi.org/10.1101/gad.1602907,https://doi.org/10.1101/gad.1602907,2751,59.63,general_robotics_contact,The Hippo pathway plays a key role in organ size control by regulating cell proliferation and apoptosis in Drosophila .,"robotics model, planner, estimator, or controller",compressed contact variables remain Markov enough for the policy,robot morphology; environment geometry; controller class,downstream repair may be impossible after control-relevant information is discarded,contact-aware robot control is a crowded area,a repair that changes the compression criterion rather than adding a verifier,robot contact dynamics,"The Hippo pathway plays a key role in organ size control by regulating cell proliferation and apoptosis in Drosophila . Although recent genetic studies have shown that the Hippo pathway is regulated by the NF2 and Fat tumor suppressors, the physiological regulations of this pathway are unknown. Here we show that in mammalian cells, the transcription coactivator YAP (Yes-associated protein), is inhibited by cell density via the Hippo pathway. Phosphorylation by the Lats tumor suppressor kinase leads to cytoplasmic translocation and inactivation of the YAP oncoprotein. Furthermore, attenuation of this phosphorylation of YAP or Yorkie (Yki), the Drosophila homolog of YAP, potentiates their growth-promoting function in vivo. Moreover, YAP overexpression regulates gene expression in a manner opposite to cell density, and is able to overcome cell contact inhibition. Inhibition of YAP function restores contact inhibition in a human cancer cell line bearing deletion of Salvador (Sav), a Hippo pathway component. Interestingly, we observed that YAP protein is elevated and nuclear localized in some human liver and prostate cancers. Our observations demonstrate that YAP plays a key role in the Hippo pathway to control cell proliferation in response to cell contact."
36,landscape; serious_skim; deep_read; hostile_prior,Defect and Contact Passivation for Perovskite Solar Cells,2019,Erkan Aydin; Michele De Bastiani; Stefaan De Wolf,Advanced Materials,https://doi.org/10.1002/adma.201900428,https://doi.org/10.1002/adma.201900428,649,59.465,general_robotics_contact,Abstract Metalhalide perovskites are rapidly emerging as an important class of photovoltaic absorbers that may enable highperformance solar cells at affordable cost.,"robotics model, planner, estimator, or controller",compressed contact variables remain Markov enough for the policy,robot morphology; environment geometry; controller class,downstream repair may be impossible after control-relevant information is discarded,contact-aware robot control is a crowded area,a repair that changes the compression criterion rather than adding a verifier,frictional contact manipulation,"Abstract Metalhalide perovskites are rapidly emerging as an important class of photovoltaic absorbers that may enable highperformance solar cells at affordable cost. Thanks to the appealing optoelectronic properties of these materials, tremendous progress has been reported in the last few years in terms of power conversion efficiencies (PCE) of perovskite solar cells (PSCs), now with record values in excess of 24%. Nevertheless, the crystalline lattice of perovskites often includes defects, such as interstitials, vacancies, and impurities; at the grain boundaries and surfaces, dangling bonds can also be present, which all contribute to nonradiative recombination of photocarriers. On device level, such recombination undesirably inflates the opencircuit voltage deficit, acting thus as a significant roadblock toward the theoretical efficiency limit of 30%. Herein, the focus is on the origin of the various voltagelimiting mechanisms in PSCs, and possible mitigation strategies are discussed. Contact passivation schemes and the effect of such methods on the reduction of hysteresis are described. Furthermore, several strategies that demonstrate how passivating contacts can increase the stability of PSCs are elucidated. Finally, the remaining key challenges in contact design are prioritized and an outlook on how passivating contacts will contribute to further the progress toward market readiness of highefficiency PSCs is presented."
37,landscape; serious_skim; deep_read; hostile_prior,A model for contact angle hysteresis,1984,J. F. Joanny; P. G. de Gennes,The Journal of Chemical Physics,https://doi.org/10.1063/1.447337,https://doi.org/10.1063/1.447337,910,59.222,hybrid_contact_control,"We discuss the behavior of a liquid partially wetting a solid surface, when the contact angle at equilibrium 0 is small, but finite.",explicit hybrid mode or complementarity formulation,contact modes are represented finely enough for control; compressed contact variables remain Markov enough for the policy,mode graph; guard surfaces; action constraints,mode compression can hide the active viability cone; downstream repair may be impossible after control-relevant information is discarded,explicit contact modes and complementarity constraints are established,a limit theorem for policies that see only compressed contact state; a repair that changes the compression criterion rather than adding a verifier,frictional contact manipulation,"We discuss the behavior of a liquid partially wetting a solid surface, when the contact angle at equilibrium 0 is small, but finite. The solid is assumed to be either flat, but chemically heterogeneous (this in turn modulating the interfacial tensions), or rough. For weak heterogeneities, we expect no hysteresis, but the contact line becomes wiggly. For stronger heterogeneities, we first discuss the behavior of the contact line in the presence of a single, localized defect, and show that there may exist two stable positions for the line, obtained by a simple graphic construction. Hysteresis shows up when the strength of the defect is above a certain threshold. Extending this to a dilute system of defects, we obtain formulas for the ''advancing'' and ''receding'' contact angles a, r, in terms of the distribution of defect strength and defect sharpness. These formulas might be tested by controlled contamination of a solid surface."
38,landscape; serious_skim; deep_read; hostile_prior,Discourse and manipulation,2006,Teun A. van Dijk,Discourse &amp; Society,https://doi.org/10.1177/0957926506060250,https://doi.org/10.1177/0957926506060250,639,59.192,contact_rich_manipulation; hybrid_contact_control; state_abstraction,'Manipulation' is one of the crucial notions of Critical Discourse Analysis that require further theoretical analysis.,contact-rich manipulation planner/controller; explicit hybrid mode or complementarity formulation; state abstraction or representation equivalence,contact modes are represented finely enough for control; the abstraction preserves the decision distinctions that matter; compressed contact variables remain Markov enough for the policy,mode graph; guard surfaces; action constraints; reward/task equivalence; transition model granularity,aliased states can require disjoint feasible action sets; mode compression can hide the active viability cone; downstream repair may be impossible after control-relevant information is discarded,explicit contact modes and complementarity constraints are established; generic MDP abstractions and bisimulation-style reductions are established,a contact-specific compression test tied to feasible action intersections; a limit theorem for policies that see only compressed contact state; a repair that changes the compression criterion rather than adding a verifier,frictional contact manipulation,"'Manipulation' is one of the crucial notions of Critical Discourse Analysis that require further theoretical analysis. This article offers a triangulated approach to manipulation as a form of social power abuse, cognitive mind control and discursive interaction. Socially, manipulation is defined as illegitimate domination confirming social inequality. Cognitively, manipulation as mind control involves the interference with processes of understanding, the formation of biased mental models and social representations such as knowledge and ideologies. Discursively, manipulation generally involves the usual forms and formats of ideological discourse, such as emphasizing Our good things, and emphasizing Their bad things. At all these levels of analysis it is shown how manipulation is different from legitimate mind control, such as in persuasion and providing information, for instance by stipulating that manipulation is in the best interest of the dominated group and against the best interests of dominated groups. Finally, this theory is illustrated by a partial analysis of a speech by Tony Blair in the House of Commons legitimating the participation of the UK in the US-led war against Iraq in 2003."
39,landscape; serious_skim; deep_read; hostile_prior,"Here, there, and everywhere: The importance of ER membrane contact sites",2018,Haoxi Wu; Pedro Carvalho; Gia K. Voeltz,Science,https://doi.org/10.1126/science.aan5835,https://doi.org/10.1126/science.aan5835,629,59.169,general_robotics_contact,It's all about your contacts Membrane contact sites have recently come to the fore of our understanding of interorganelle communication.,"robotics model, planner, estimator, or controller",compressed contact variables remain Markov enough for the policy,robot morphology; environment geometry; controller class,downstream repair may be impossible after control-relevant information is discarded,contact-aware robot control is a crowded area,a repair that changes the compression criterion rather than adding a verifier,frictional contact manipulation,"It's all about your contacts Membrane contact sites have recently come to the fore of our understanding of interorganelle communication. Wu et al. review how these important structures help to promote a variety of key functions, including organelle division and lipid transfer. Focusing on contacts between the endoplasmic reticulum and a variety of organelles or the plasma membrane reveals the generality and importance of these contacts in cellular homeostasis and organismal health. Science , this issue p. eaan5835"
40,landscape; serious_skim; deep_read; hostile_prior,Deep learning for detecting robotic grasps,2015,Ian Lenz; Honglak Lee; Ashutosh Saxena,The International Journal of Robotics Research,https://doi.org/10.1177/0278364914549607,https://doi.org/10.1177/0278364914549607,1289,58.494,contact_rich_manipulation,We consider the problem of detecting robotic grasps in an RGB-D view of a scene containing objects.,contact-rich manipulation planner/controller,compressed contact variables remain Markov enough for the policy,robot morphology; environment geometry; controller class,downstream repair may be impossible after control-relevant information is discarded,contact-aware robot control is a crowded area,a repair that changes the compression criterion rather than adding a verifier,contact-rich manipulation robotics,"We consider the problem of detecting robotic grasps in an RGB-D view of a scene containing objects. In this work, we apply a deep learning approach to solve this problem, which avoids time-consuming hand-design of features. This presents two main challenges. First, we need to evaluate a huge number of candidate grasps. In order to make detection fast and robust, we present a two-step cascaded system with two deep networks, where the top detections from the first are re-evaluated by the second. The first network has fewer features, is faster to run, and can effectively prune out unlikely candidate grasps. The second, with more features, is slower but has to run only on the top few detections. Second, we need to handle multimodal inputs effectively, for which we present a method that applies structured regularization on the weights based on multimodal group regularization. We show that our method improves performance on an RGBD robotic grasping dataset, and can be used to successfully execute grasps on two different robotic platforms."
41,landscape; serious_skim; deep_read; hostile_prior,"Moving Contact Lines: Scales, Regimes, and Dynamical Transitions",2013,Jacco H. Snoeijer; Bruno Andreotti,Annual Review of Fluid Mechanics,https://doi.org/10.1146/annurev-fluid-011212-140734,https://doi.org/10.1146/annurev-fluid-011212-140734,760,58.202,general_robotics_contact,"The speed at which a liquid can move over a solid surface is strongly limited when a three-phase contact line is present, separating wet from dry regions.","robotics model, planner, estimator, or controller",compressed contact variables remain Markov enough for the policy,robot morphology; environment geometry; controller class,downstream repair may be impossible after control-relevant information is discarded,contact-aware robot control is a crowded area,a repair that changes the compression criterion rather than adding a verifier,frictional contact manipulation,"The speed at which a liquid can move over a solid surface is strongly limited when a three-phase contact line is present, separating wet from dry regions. When enforcing large contact line speeds, this leads to the entrainment of drops, films, or air bubbles. In this review, we discuss experimental and theoretical progress revealing the physical mechanisms behind these dynamical wetting transitions. In this context, we discuss microscopic processes that have been proposed to resolve the moving-contact line paradox and identify the different dynamical regimes of contact line motion."
42,landscape; serious_skim; deep_read; hostile_prior,"Electronic Skin: Recent Progress and Future Prospects for SkinAttachable Devices for Health Monitoring, Robotics, and Prosthetics",2019,Jun Chang Yang; Jaewan Mun; Se Young Kwon; Seongjun Park; Zhenan Bao; Steve Park,Advanced Materials,https://doi.org/10.1002/adma.201904765,https://doi.org/10.1002/adma.201904765,1339,57.551,contact_rich_manipulation; tactile_state_estimation,"Abstract Recent progress in electronic skin or eskin research is broadly reviewed, focusing on technologies needed in three main applications: skinattachable electronics, robotics, and prosthetics.",contact-rich manipulation planner/controller; touch-conditioned state estimator,sensing distinguishes the contact events needed downstream; compressed contact variables remain Markov enough for the policy,sensor placement; contact observability model,contact features may be sufficient for classification but insufficient for control; downstream repair may be impossible after control-relevant information is discarded,contact-aware robot control is a crowded area,sensing targets defined by action-separating contact predicates; a repair that changes the compression criterion rather than adding a verifier,contact-rich manipulation robotics,"Abstract Recent progress in electronic skin or eskin research is broadly reviewed, focusing on technologies needed in three main applications: skinattachable electronics, robotics, and prosthetics. First, since eskin will be exposed to prolonged stresses of various kinds and needs to be conformally adhered to irregularly shaped surfaces, materials with intrinsic stretchability and selfhealing properties are of great importance. Second, tactile sensing capability such as the detection of pressure, strain, slip, force vector, and temperature are important for health monitoring in skin attachable devices, and to enable object manipulation and detection of surrounding environment for robotics and prosthetics. For skin attachable devices, chemical and electrophysiological sensing and wireless signal communication are of high significance to fully gauge the state of health of users and to ensure user comfort. For robotics and prosthetics, largearea integration on 3D surfaces in a facile and scalable manner is critical. Furthermore, new signal processing strategies using neuromorphic devices are needed to efficiently process tactile information in a parallel and low power manner. For prosthetics, neural interfacing electrodes are of high importance. These topics are discussed, focusing on progress, current challenges, and future prospects."
43,landscape; serious_skim; deep_read; hostile_prior,Role of Fractal Geometry in Roughness Characterization and Contact Mechanics of Surfaces,1990,A. Majumdar; B. Bhushan,Journal of Tribology,https://doi.org/10.1115/1.2920243,https://doi.org/10.1115/1.2920243,855,57.128,hybrid_contact_control; state_abstraction,A proper characterization of the multiscale topography of rough surfaces is very crucial for understanding several tribological phenomena.,explicit hybrid mode or complementarity formulation; state abstraction or representation equivalence,contact modes are represented finely enough for control; the abstraction preserves the decision distinctions that matter; compressed contact variables remain Markov enough for the policy,mode graph; guard surfaces; action constraints; reward/task equivalence; transition model granularity,aliased states can require disjoint feasible action sets; mode compression can hide the active viability cone; downstream repair may be impossible after control-relevant information is discarded,explicit contact modes and complementarity constraints are established; generic MDP abstractions and bisimulation-style reductions are established,a contact-specific compression test tied to feasible action intersections; a limit theorem for policies that see only compressed contact state; a repair that changes the compression criterion rather than adding a verifier,frictional contact manipulation,"A proper characterization of the multiscale topography of rough surfaces is very crucial for understanding several tribological phenomena. Although the multiscale nature of rough surfaces warrants a scale-independent characterization, conventional techniques use scale-dependent statistical parameters such as the variances of height, slope and curvature which are shown to be functions of the surface magnification. Roughness measurements on surfaces of magnetic tape, smooth and textured magnetic thin film rigid disks, and machined stainless steel surfaces show that their spectra follow a power law behavior. Profiles of such surfaces are, therefore, statistically self-affine which implies that when repeatedly magnified, increasing details of roughness emerge and appear similar to the original profile. This paper uses fractal geometry to characterize the multiscale self-affine topography by scale-independent parameters such as the fractal dimension. These parameters are obtained from the spectra of surface profiles. It was observed that surface processing techniques which produce deterministic texture on the surface result in non-fractal structure whereas those producing random texture yield fractal surfaces. For the magnetic tape surface, statistical parameters such as the r.m.s. peak height and curvature and the mean slope, which are needed in elastic contact models, are found to be scale-dependent. The imperfect contact between two rough surfaces is composed of a large number of contact spots of different sizes. The fractal representation of surfaces shows that the size-distribution of the multiscale contact spots follows a power law and is characterized by the fractal dimension of the surface. The surface spectra and the spot size-distribution follow power laws over several decades of length scales. Therefore, the fractal approach has the potential to predict the behavior of a surface phenomenon at a particular length scale from the observations at other length scales."
44,landscape; serious_skim; deep_read; hostile_prior,An Elastic-Plastic Model for the Contact of Rough Surfaces,1987,W. R. Chang; I. Etsion; D. B. Bogy,Journal of Tribology,https://doi.org/10.1115/1.3261348,https://doi.org/10.1115/1.3261348,1097,56.502,hybrid_contact_control,An elastic-plastic asperity model for analyzing the contact of rough surfaces is presented.,explicit hybrid mode or complementarity formulation,contact modes are represented finely enough for control; compressed contact variables remain Markov enough for the policy,mode graph; guard surfaces; action constraints,mode compression can hide the active viability cone; downstream repair may be impossible after control-relevant information is discarded,explicit contact modes and complementarity constraints are established,a limit theorem for policies that see only compressed contact state; a repair that changes the compression criterion rather than adding a verifier,frictional contact manipulation,An elastic-plastic asperity model for analyzing the contact of rough surfaces is presented. The model is based on volume conservation of an asperity control volume during plastic deformation. Numerical results obtained from this model are compared with other existing models that are either purely elastic or purely plastic. It is shown that these models are limiting cases of the more general elastic-plastic model presented here. Some of the results obtained deviate appreciably from previous analyses which do not consider asperity volume conservation.
45,landscape; serious_skim; deep_read; hostile_prior,The Management of Customer-Contact Service Employees: An Empirical Investigation,1996,Michael D. Hartline; O. C. Ferrell,Journal of Marketing,https://doi.org/10.1177/002224299606000406,https://doi.org/10.1177/002224299606000406,2024,55.42,hybrid_contact_control,"The authors develop and test a model of service employee management that examines constructs simultaneously across three interfaces of the service delivery process: manager-employee, employee-role, and employee-customer.",explicit hybrid mode or complementarity formulation,contact modes are represented finely enough for control; compressed contact variables remain Markov enough for the policy,mode graph; guard surfaces; action constraints,mode compression can hide the active viability cone; downstream repair may be impossible after control-relevant information is discarded,explicit contact modes and complementarity constraints are established,a limit theorem for policies that see only compressed contact state; a repair that changes the compression criterion rather than adding a verifier,robot contact dynamics,"The authors develop and test a model of service employee management that examines constructs simultaneously across three interfaces of the service delivery process: manager-employee, employee-role, and employee-customer. The authors examine the attitudinal and behavioral responses of customer-contact employees that can influence customers' perceptions of service quality, the relationships among these responses, and three formal managerial control mechanisms (empowerment, behavior-based employee evaluation, and management commitment to service quality). The findings indicate that managers who are committed to service quality are more likely to empower their employees and use behavior-based evaluation. However, the use of empowerment has both positive and negative consequences in the management of contact employees. Some of the negative consequences are mitigated by the positive effects of behavior-based employee evaluation. To increase customers' perceptions of service quality, managers must increase employees' self-efficacy and job satisfaction, and reduce employees' role conflict and ambiguity. Implications for the management of customer-contact service employees and directions for further research are discussed."
46,landscape; serious_skim; deep_read,An RGD spacing of 440 nm is sufficient for integrin alpha V beta 3-mediated fibroblast spreading and 140 nm for focal contact and stress fiber formation.,1991,S P Massia; J A Hubbell,The Journal of cell biology,https://doi.org/10.1083/jcb.114.5.1089,https://doi.org/10.1083/jcb.114.5.1089,797,55.023,general_robotics_contact,"The synthetic peptide Gly-Arg-Gly-Asp-Tyr (GRGDY), which contains the RGD sequence of several adhesion molecules, was covalently grafted to the surface of otherwise poorly adhesive glass substrates and was used to determine the minimal number of ligand-recepto","robotics model, planner, estimator, or controller",compressed contact variables remain Markov enough for the policy,robot morphology; environment geometry; controller class,downstream repair may be impossible after control-relevant information is discarded,contact-aware robot control is a crowded area,a repair that changes the compression criterion rather than adding a verifier,frictional contact manipulation,"The synthetic peptide Gly-Arg-Gly-Asp-Tyr (GRGDY), which contains the RGD sequence of several adhesion molecules, was covalently grafted to the surface of otherwise poorly adhesive glass substrates and was used to determine the minimal number of ligand-receptor interactions required for complete spreading of human foreskin fibroblasts. Well-defined adhesion substrates were prepared with GRGDY between 10(-3) fmol/cm2 and 10(4) fmol/cm2. As the adhesion ligand surface concentration was varied, several distinct morphologies of adherent cells were observed and categorized. The population of fully spread cells at 4 h reached a maximum at 1 fmol/cm2, with no further increases up to 10(4) fmol/cm2. Although maximal cell spreading was obtained at 1 fmol/cm2, focal contacts and stress fibers failed to form at RGD surface concentrations below 10 fmol/cm2. The minimal peptide spacings obtained in this work correspond to 440 nm for spreading and 140 nm for focal contact formation, and are much larger than those reported in previous studies with adsorbed adhesion proteins, adsorbed RGD-albumin conjugates, or peptide-grafted polyacrylamide gels. Vitronectin receptor antiserum specific for integrin alpha V beta 3 blocked cell adhesion and spreading on substrates containing 100 fmol/cm2 of surface-bound GRGDY, while fibronectin receptor antiserum specific for alpha 5 beta 1 did not. Furthermore, alpha V beta 3 was observed to cluster into focal contacts in spread cells, but alpha 5 beta 1 did not. It was thus concluded that a peptide-to-peptide spacing of 440 nm was required for alpha V beta 3-mediated cellular spreading, while 140 nm was required for alpha V beta 3-mediated focal contact formation and normal stress fiber organization in human foreskin fibroblasts; these spacings represent much fewer ligands than were previously thought to be required."
47,landscape; serious_skim; deep_read,Epidermal Langerhans cell density determines whether contact hypersensitivity or unresponsiveness follows skin painting with DNFB.,1980,G B Toews; P R Bergstresser; J W Streilein,The Journal of Immunology,https://doi.org/10.4049/jimmunol.124.1.445,https://doi.org/10.4049/jimmunol.124.1.445,786,55.002,general_robotics_contact,"Abstract Langerhans cells (LC) have recently been shown to be the only epidermal cells that bear Fc and C3 receptors, and that express Ia antigens on their surface, supporting the hypothesis that LC are an epidermal equivalent of the monocyte-macrophage lineag","robotics model, planner, estimator, or controller",compressed contact variables remain Markov enough for the policy,robot morphology; environment geometry; controller class,downstream repair may be impossible after control-relevant information is discarded,contact-aware robot control is a crowded area,a repair that changes the compression criterion rather than adding a verifier,frictional contact manipulation,"Abstract Langerhans cells (LC) have recently been shown to be the only epidermal cells that bear Fc and C3 receptors, and that express Ia antigens on their surface, supporting the hypothesis that LC are an epidermal equivalent of the monocyte-macrophage lineage. Functional in vitro studies have demontrated that antigen-pulsed, Langerhans cell-enriched, epidermal cell preparations can induce proliferative responses in immune T cells that are comparable in magnitude to those induced by similarly pulsed macrophages. Additionally, LC have been linked to cutaneous cell-mediated reactions such as delayed contact hypersensitivity to DNFB and other allergens. Using C57BL/6J mice, we have investigated the induction of contact hypersensitivity to DNFB through normal skin and throughskin deficient in Langerhans cells: Tail skin epidermis is relatively deficient in Langerhans cells compared to normal body wall skin; abdominal body wall skin can be depleted of Langerhans cells via exposure to short course ultraviolet light irradiation. These cutaneous sites were evaluated for their capacity to sustain sensitization to DNFB. The degree of in vivo sensitivity was assessed by measuring ear swelling after challenge with contactant. When sensitization was attempted through 1) normal body wall skin, 2) body wall skin treated with UV irradiation, and 3) normal tail skin, only 1) normal body wall skin supported the induction of sensitization to DNFB. More importantly, animals whose first exposure to DNFB occurred through skin deficient in Langerhans cells were unable subsequently to become specifically sensitized when immunization was attempted through the conventional route using normal body wall skin. We conclude that not only are Langerhans cells essential for induction of contact hypersensitivity to chemical allergens, but in their absence, exposure to these agents leads to specific unresponsiveness."
48,landscape; serious_skim; deep_read,Coming together to define membrane contact sites,2019,Luca Scorrano; Maria Antonietta De Matteis; Scott Emr; Francesca Giordano; Gyorgy Hajnoczky; Benoit Kornmann; Laura L. Lackner; Tim P. Levine,Nature Communications,https://doi.org/10.1038/s41467-019-09253-3,https://doi.org/10.1038/s41467-019-09253-3,704,54.587,general_robotics_contact,Abstract Close proximities between organelles have been described for decades.,"robotics model, planner, estimator, or controller",compressed contact variables remain Markov enough for the policy,robot morphology; environment geometry; controller class,downstream repair may be impossible after control-relevant information is discarded,contact-aware robot control is a crowded area,a repair that changes the compression criterion rather than adding a verifier,frictional contact manipulation,"Abstract Close proximities between organelles have been described for decades. However, only recently a specific field dealing with organelle communication at membrane contact sites has gained wide acceptance, attracting scientists from multiple areas of cell biology. The diversity of approaches warrants a unified vocabulary for the field. Such definitions would facilitate laying the foundations of this field, streamlining communication and resolving semantic controversies. This opinion, written by a panel of experts in the field, aims to provide this burgeoning area with guidelines for the experimental definition and analysis of contact sites. It also includes suggestions on how to operationally and tractably measure and analyze them with the hope of ultimately facilitating knowledge production and dissemination within and outside the field of contact-site research."
